id,quiz,option1,option2,option3,option4,answer,cite
31,ビタミンB2は肌荒れの予防に役立ちます。多く含まれている食品はどれでしょう？,納豆,いちご,発泡酒,りんご,ビタミンB2は肌荒れや口内炎の予防に役立ち、それは納豆や牛乳に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
32,ビタミンB2は口内炎の予防に役立ちます。多く含まれている食品はどれでしょう？,鯖の味噌煮,れんこん,アップルパイ,たまねぎ,ビタミンB2は肌荒れや口内炎の予防に役立ち、それは鯖の味噌煮やスモークレバーに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
33,ビタミンB2は美肌効果がある。多く含まれている食品はどれでしょう？,レバニラ,だいこん（ゆで、皮なし）,りんご,梅酒,ビタミンB2は美肌効果があり、それはレバニラや納豆に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
34,ビタミンB2は美肌効果がある。多く含まれている食品はどれでしょう？,牛乳,たくあん,しょうが,いちご,ビタミンB2は美肌効果があり、それはきのこの味噌汁や牛乳に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
35,ビタミンB2はレバーや納豆に多く含まれている。ビタミンB2の主な機能はどれでしょう？,美肌効果,筋肉の修復,PMS症状の改善,血糖値の調整,ビタミンB2は肌荒れ・口内炎予防・ 美肌効果があり、偏頭痛の緩和にも役立ちます！,https://www.bosei-navi.mhlw.go.jp/
36,ナイアシンは神経系の働きの促進に役立ちます。多く含まれている食品はどれでしょう？,たらこ,めんま,いちご,たけのこ,ナイアシンは神経系の働きを促進し、それはたらこや鰹に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
37,ナイアシンは神経系の働きの促進に役立ちます。多く含まれている食品はどれでしょう？,アボカド,鶏卵（生）,どら焼き,シュークリーム,ナイアシンは神経系の働きを促進し、それはきのこ類やアボカドに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
38,ナイアシンは二日酔い予防に役立ちます。多く含まれている食品はどれでしょう？,豆類,しょうが,ヨーグルト,いちご,ナイアシンは二日酔い予防に役立ち、それは豆類やぬか漬に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
39,ナイアシンは二日酔い予防に役立ちます。多く含まれている食品はどれでしょう？,ブリの照り焼き,ところてん,焼き豆腐,めんま,ナイアシンは二日酔い予防に役立ち、それはブリの照り焼きやたらこのおにぎりに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
40,ナイアシンはメンタルケアに役立ちます。多く含まれている食品はどれでしょう？,枝豆,シュークリーム,ピクルス,ヨーグルト,ナイアシンはメンタルケアに役立ち、それは枝豆や漬物に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
41,ナイアシンはメンタルケアに役立ちます。多く含まれている食品はどれでしょう？,漬物,いちじく,チーズ,しょうが,ナイアシンはメンタルケアに役立ち、それは漬物やアボカドスライスに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
42,ナイアシンはキノコ類やアボカドに多く含まれている。ナイアシンの主な機能はどれでしょう？,二日酔い予防,筋肉強化,口内炎予防,免疫機能の強化,ナイアシンは神経系の働きを促進します。さらに、二日酔い予防・メンタルケアに役立ちます！,https://www.bosei-navi.mhlw.go.jp/
43,ビタミンB6はPMS症状の改善に役立ちます。多く含まれている食品はどれでしょう？,まぐろ,しらたき,切干しだいこん,さくらんぼ,ビタミンB6はPMS症状の改善に役立ち、それはかつおやまぐろに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
44,ビタミンB6はPMS症状の改善に役立ちます。多く含まれている食品はどれでしょう？,牛レバー,あんパン,かつおだし,しらたき,ビタミンB6はPMS症状の改善に役立ち、それは牛レバーやさんまに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
45,ビタミンB6は代謝を高めてくれる。多く含まれている食品はどれでしょう？,バナナ,くりまんじゅう,もも,たくあん,ビタミンB6は代謝を高め、口内炎ケアに役立ち、それはバナナやにんにくに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
46,ビタミンB6は口内炎ケアに役立ちます。多く含まれている食品はどれでしょう？,ペペロンチーノ,きゅうり,りんご,切干しだいこん,ビタミンB6は代謝を高め、口内炎ケアに役立ち、それはトウガラシやペペロンチーノに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
47,ビタミンB6はメンタルケアに役立ちます。多く含まれている食品はどれでしょう？,サラダチキン,梅酒,きくらげ,あんパン,ビタミンB6はメンタルケアに役立ち、それはサンマの塩焼きやサラダチキンに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
48,ビタミンB6はメンタルケアに役立ちます。多く含まれている食品はどれでしょう？,にんにく,たくあん,油揚げ,かつおだし,ビタミンB6はメンタルケアに役立ち、それはバナナやにんにくに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
49,ビタミンB6はマグロやにんにくに多く含まれている。ビタミンB6の主な機能はどれでしょう？,PMS症状改善,偏頭痛緩和,骨を作る,血糖値の調整,ビタミンB6はPMS症状改善、代謝UPに役立ちます！口内炎予防や皮膚トラブルケア、メンタルケアにもなる！,https://www.bosei-navi.mhlw.go.jp/
50,ビタミンB12は偏頭痛を緩和するために役立ちます。多く含まれている食品はどれでしょう？,牛レバー,コーヒー,スイートコーン,たまねぎ,ビタミンB12は神経を落ち着かせたり、偏頭痛を緩和するために役立ち、それは牛レバーや鶏レバーに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
51,ビタミンB12は神経を落ち着かせるために役立ちます。多く含まれている食品はどれでしょう？,さんま,アップルパイ,なす,ひじき,ビタミンB12は神経を落ち着かせたり、偏頭痛を緩和するために役立ち、それはカキやさんまに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
52,ビタミンB12は赤血球やヘモグロビンの産生に関与する。多く含まれている食品はどれでしょう？,アサリ,ひじき,豆乳,ブロッコリー,ビタミンB12は赤血球やヘモグロビンの産生に関与し、それはあさりやにしんに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
53,ビタミンB12は赤血球やヘモグロビンの産生に関与する。多く含まれている食品はどれでしょう？,カキフライ,ブロッコリー,アーモンド,なす,ビタミンB12は赤血球やヘモグロビンの産生に関与し、それはカキフライやボンゴレビアンコに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
54,ビタミンB12は貧血予防に役立ちます。多く含まれている食品はどれでしょう？,レバニラ,ほうれんそう,らっきょう,コーヒー,ビタミンB12は貧血予防に役立ち、それはさんまの塩焼きやレバニラに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
55,ビタミンB12は眼精疲労の改善に役立ちます。多く含まれている食品はどれでしょう？,アサリ,にんじん,しいたけ,アーモンド,ビタミンB12は眼精疲労の改善に役立ち、それは牛レバーやあさりに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
56,ビタミンB12は牛レバーやアサリに多く含まれている。ビタミンB12の主な機能はどれでしょう？,偏頭痛の緩和,疲労回復,骨を作る,筋肉の修復,ビタミンB12は神経を落ち着け、 偏頭痛を緩和する。さらに、貧血予防・眼精疲労改善効果を持つ！,https://www.bosei-navi.mhlw.go.jp/
57,ビタミンDは骨の健康を保つ役割がある。多く含まれている食品はどれでしょう？,鮭,ほたて貝柱,きんぴらごぼう,肉じゃが,ビタミンDは骨の健康を保つ役割があり、それは鮭や鯖に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
58,ビタミンDは骨の健康を保つ役割がある。多く含まれている食品はどれでしょう？,イワシ,バナメイエビ,ビーフカレー,ほたて貝柱,ビタミンDは骨の健康を保つ役割があり、それはイワシやキクラゲに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
59,ビタミンDは免疫力を向上させる。多く含まれている食品はどれでしょう？,キノコ,まだこ,肉じゃが,きんぴらごぼう,ビタミンDは免疫力を向上させ、それはキノコや鶏卵に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
60,ビタミンDは免疫力を向上させる。多く含まれている食品はどれでしょう？,鮭の塩焼き,するめいか,かきフライ,バナメイエビ,ビタミンDは免疫力を向上させ、それは鮭の塩焼きやオイルサーディンに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
61,ビタミンDは糖尿病予防に役立ちます。多く含まれている食品はどれでしょう？,キノコの和風パスタ,青汁,トマト,かきフライ,ビタミンDは糖尿病予防に役立ち、それはキノコの和風パスタや卵とキクラゲの中華炒めに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
62,ビタミンDは糖尿病予防に役立ちます。多く含まれている食品はどれでしょう？,キクラゲ,ビール,きび団子,トマト,ビタミンDは糖尿病予防に役立ち、それはキクラゲや鶏卵に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
63,ビタミンDはシャケやキノコに多く含まれている。ビタミンDの主な機能はどれでしょう？,骨の健康維持,貧血予防,二日酔い予防,美肌効果,ビタミンDは骨の健康を保ち、遺伝子の働きを調節する！,https://www.bosei-navi.mhlw.go.jp/
64,カルシウムは新しい骨や歯の細胞を作る役割がある。多く含まれている食品はどれでしょう？,小魚,はちみつ,なめこ,オレンジ,カルシウムは新しい骨や歯の細胞を作る役割があり、それは小魚や海藻に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
65,カルシウムは新しい骨や歯の細胞を作る役割がある。多く含まれている食品はどれでしょう？,牛乳,ウーロン茶,まぐろ,はちみつ,カルシウムは新しい骨や歯の細胞を作る役割があり、それは牛乳やプロセスチーズに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
66,カルシウムは新しい骨や歯の細胞を作る役割がある。多く含まれている食品はどれでしょう？,ひじき,ロースハム,しいたけ,ウーロン茶,カルシウムは神経やホルモンの働きにも作用し、それは木綿豆腐やひじきに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
67,カルシウムは新しい骨や歯の細胞を作る役割がある。多く含まれている食品はどれでしょう？,小松菜,じゃがいも,オレンジ,ロースハム,カルシウムは神経やホルモンの働きにも作用し、それは小松菜や鯖の味噌煮に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
68,カルシウムは新しい骨や歯の細胞を作る役割がある。多く含まれている食品はどれでしょう？,ヨーグルト,りんご,かも,まぐろ,カルシウムは骨の健康を保つため、それはヨーグルトやチーズに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
69,カルシウムは新しい骨や歯の細胞を作る役割がある。多く含まれている食品はどれでしょう？,しらすおにぎり,マッシュルーム,りんご,じゃがいも,カルシウムは骨の健康を保つため、それはツナとワカメのサラダやしらすおにぎりに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
70,カルシウムは海藻や牛乳に多く含まれている。カルシウムの主な機能はどれでしょう？,骨や歯を作る,偏頭痛の緩和,代謝UP,目の健康維持,カルシウムは新しい骨や歯の細胞を作り、 神経やホルモンの働きへの作用に役立ちます！,https://www.bosei-navi.mhlw.go.jp/
71,鉄は疲れやだるさを緩和する役割がある。多く含まれている食品はどれでしょう？,豚レバー,だいこん,りんご,ひらめ,鉄は疲れやだるさ、肩こりを緩和し、それは豚レバーや鶏レバーに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
72,鉄は肩こりを緩和する役割がある。多く含まれている食品はどれでしょう？,鰹,するめいか,ところてん,だいこん,鉄は疲れやだるさ、肩こりを緩和し、それは牛レバーや鰹に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
73,鉄はPMS症状の緩和に役立ちます。多く含まれている食品はどれでしょう？,牡蠣,まだこ,卵白,りんご,鉄はPMS症状の緩和に役立ち、それは牡蠣やひじきに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
74,鉄はPMS症状の緩和に役立ちます。多く含まれている食品はどれでしょう？,ほうれん草,ヨーグルト,乳飲料,まだこ,鉄はPMS症状の緩和に役立ち、それはほうれん草や枝豆に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
75,鉄はめまいや頭痛の緩和に役立ちます。多く含まれている食品はどれでしょう？,レバニラ,ひらめ,ぽんかん,ヨーグルト,鉄はめまいや頭痛を緩和し、それはレバニラやひじきの煮物に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
76,鉄はめまいや頭痛の緩和に役立ちます。多く含まれている食品はどれでしょう？,ひじき,アセロラ,レモン,ところてん,鉄はめまいや頭痛を緩和し、それは豆とひじきのサラダや梅ひじきおにぎりに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
77,鉄は豚レバーやひじきに多く含まれている。鉄の主な機能はどれでしょう？,めまいや頭痛の緩和,視力の維持,骨の強化,代謝UP,鉄は疲れ・だるさ、 肩こり、めまいや頭痛を緩和する。さらに。PMS症状の緩和軽減に役立ちます！,https://www.bosei-navi.mhlw.go.jp/
78,亜鉛は皮膚トラブルの改善に役立ちます。多く含まれている食品はどれでしょう？,牡蠣,マーガリン,レタス,りんご,亜鉛は皮膚や髪のトラブルを改善し、それは牡蠣や赤身肉に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
79,亜鉛は髪のトラブルの改善に役立ちます。多く含まれている食品はどれでしょう？,甲殻類,わかめ,にんじん,マーガリン,亜鉛は皮膚や髪のトラブルを改善し、それは甲殻類やうなぎに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
80,亜鉛は貧血予防に役立ちます。多く含まれている食品はどれでしょう？,卵黄,キャベツ,オリーブ,レタス,亜鉛は貧血予防に役立ち、それは煮干しや卵黄に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
81,亜鉛は貧血予防に役立ちます。多く含まれている食品はどれでしょう？,チーズ,きゅうり,グレープフルーツ,わかめ,亜鉛は貧血予防に役立ち、それは切り干し大根やチーズに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
82,亜鉛は鼻水・鼻づまりなどの症状の緩和に役立ちます。多く含まれている食品はどれでしょう？,海老,りんご,うめ,にんじん,亜鉛は鼻水・鼻づまりなどの症状を緩和し、それはチーズちくわや海老とブロッコリーサラダに多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
83,亜鉛は鼻水・鼻づまりなどの症状の緩和に役立ちます。多く含まれている食品はどれでしょう？,茹で卵,マンゴー,しょうが,キャベツ,亜鉛は鼻水・鼻づまりなどの症状を緩和し、それはあさりのお味噌汁や茹で卵に多く含まれます！,https://www.bosei-navi.mhlw.go.jp/
84,亜鉛は牡蠣やうなぎに多く含まれている。亜鉛の主な機能はどれでしょう？,皮膚トラブル改善,血糖値の調整,筋肉強化,免疫機能の強化,亜鉛は皮膚や髪のトラブルを改善する。さらに、のどの痛みや鼻水・鼻づまりなどの症状の緩和に役立ちます！,https://www.bosei-navi.mhlw.go.jp/
85,女性の体は月経は妊娠の際にどの栄養素を失ってしまう？,鉄,ビタミンC,ビタミンD,カルシウム,女性の体は月経や妊娠で多くの鉄分を必要とするので、意識して摂るべき栄養素である！鉄分は肉、魚、アサリなどから摂れる！,https://www.hokeniryo.metro.tokyo.lg.jp/index.html
86,貧血症状の予防になる栄養素はどれでしょう？,葉酸,マグネシウム,ビタミンB12,ナトリウム,葉酸は、貧血症状の予防に重要な栄養素で、ブロッコリー、ほうれん草、枝豆などに多く含まれる！,https://www.hokeniryo.metro.tokyo.lg.jp/index.html
87,胎児の二分脊椎などの神経管閉鎖障害の発症リスクを減らすために重要な栄養素はどれでしょう？,葉酸,鉄,ビタミンD,カルシウム,葉酸は、胎児の二分脊椎などの神経管閉鎖障害の発症リスクを減らすために重要な栄養素で、納豆、アスパラガス、いちご、アボガドなどに多く含まれる！,https://www.hokeniryo.metro.tokyo.lg.jp/index.html
88,BMIの計算方法はどれでしょう？,体重(kg)÷身長(m)÷身長(m),体重(g)÷身長(m)÷身長(m),体重(kg)+身長(m),身長(m)÷体重(kg)÷体重(kg),BMIは、体重(kg)÷身長(m)÷身長(m)で計算される。22が最も病気になりにくい値である！,https://www.hokeniryo.metro.tokyo.lg.jp/index.html
89,最も病気になりにくいBMIの値はどれでしょう？,22,21,19,24,BMIの値が22の時が最も病気になりにくいです！18.5~24.9を目指しましょう！,https://www.hokeniryo.metro.tokyo.lg.jp/index.html
90,18~49歳の適性のBMIの値の範囲はどれでしょう？,18.5~24.9,15~21,20~27,23.5~28.9,18~49歳の適性のBMIの値の範囲は18.5~24.9です！18.5未満は痩せ、24.9は肥満とされています！,https://www.hokeniryo.metro.tokyo.lg.jp/index.html
91,三大栄養素はタンパク質，脂質ともう一つはどれでしょう？,炭水化物,ビタミンC,カルシウム,鉄,三大栄養素はタンパク質，脂質，炭水化物です！,
92,鶏のから揚げに含まれる，筋肉づくりに役立つ栄養素は？,タンパク質,ビタミンC,鉄,カルシウム,タンパク質は，筋肉や臓器、 肌、髪、 爪、 体内のホルモンや酵素、 免疫物質などを作ります！,https://www.bosei-navi.mhlw.go.jp/
93,鶏のから揚げに含まれる，免疫物質を作る栄養素は？,タンパク質,ビタミンC,鉄,カルシウム,タンパク質は，筋肉や臓器、 肌、髪、 爪、 体内のホルモンや酵素、 免疫物質などを作ります！,https://www.bosei-navi.mhlw.go.jp/
94,ご飯に含まれる，エネルギー源として重要な栄養素は？,炭水化物,タンパク質,ビタミンA,鉄,炭水化物は，体内で消化されて糖質になります！さらに エネルギー源として最も重要な栄養素です！,https://www.bosei-navi.mhlw.go.jp/
95,ご飯に含まれる，体内で消化されて糖質になる栄養素は？,炭水化物,タンパク質,ビタミンA,鉄,炭水化物は，体内で消化されて糖質になります！さらに エネルギー源として最も重要な栄養素です！,https://www.bosei-navi.mhlw.go.jp/
96,レバーに含まれる，目の正常な機能の維持に役立つ栄養素は？,ビタミンA,ビタミンC,鉄,カルシウム,ビタミンAの機能は，目の正常な機能の維持と皮膚や粘膜の正常保持です！,https://www.bosei-navi.mhlw.go.jp/
97,レバーに含まれる，皮膚や粘膜の正常保持に役立つ栄養素は？,ビタミンA,ビタミンC,鉄,カルシウム,ビタミンAの機能は，目の正常な機能の維持と皮膚や粘膜の正常保持です！,https://www.bosei-navi.mhlw.go.jp/
98,豚肉に含まれる，精神状態を改善する栄養素は？,ビタミンB1,ビタミンD,ビタミンC,鉄,ビタミンB1は，神経機能を正常に保ち、 精神状態を改善します！さらに，疲労回復と代謝UPに役立ちます！,https://www.bosei-navi.mhlw.go.jp/
99,豚肉に含まれる，疲労回復に役立つ栄養素は？,ビタミンB1,ビタミンD,ビタミンC,鉄,ビタミンB1は，神経機能を正常に保ち、 精神状態を改善します！さらに，疲労回復と代謝UPに役立ちます！,https://www.bosei-navi.mhlw.go.jp/
100,うなぎに含まれる，偏頭痛を緩和する栄養素は？,ビタミンB2,ビタミンD,カルシウム,ビタミンC,ビタミンB2は，神経を落ち着け、 偏頭痛を緩和します！さらに，肌荒れと口内炎予防， 美肌効果があります！,https://www.bosei-navi.mhlw.go.jp/
101,うなぎに含まれる，口内炎予防に役立つ栄養素は？,ビタミンB2,ビタミンD,カルシウム,ビタミンC,ビタミンB2は，神経を落ち着け、 偏頭痛を緩和します！さらに，肌荒れと口内炎予防， 美肌効果があります！,https://www.bosei-navi.mhlw.go.jp/
102,アボカドに含まれる，神経系の働きを促進する栄養素は？,ナイアシン,ビタミンC,ビタミンD,マグネシウム,ナイアシンは，神経系の働きを促進します！さらに，二日酔い予防とメンタルケアに役立ちます！,https://www.bosei-navi.mhlw.go.jp/
103,アボカドに含まれる，二日酔い予防に役立つ栄養素は？,ナイアシン,ビタミンC,ビタミンD,マグネシウム,ナイアシンは，神経系の働きを促進します！さらに，二日酔い予防とメンタルケアに役立ちます！,https://www.bosei-navi.mhlw.go.jp/
104,かつおに含まれる，PMS症状を改善する栄養素は？,ビタミンB6,ビタミンC,鉄,カルシウム,ビタミンB6は，PMS症状改善と代謝UP効果があります！,https://www.bosei-navi.mhlw.go.jp/
